CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
2802202,AGMI,E4510,,,"7,50",19,"-0,11",8,"0,29",30,"0,66",34,"-0,36",34,"2,74",11,"3,79",11,"2,43",22,"4,24",23,"8,52",29,"5,97",31,"5,27",7
3056833,AGMI,E8055,,,"7,50",17,"-0,56",8,"0,53",16,"0,51",17,"1,08",34,"1,98",12,"2,84",12,"1,25",17,"2,41",18,"6,53",20,"7,37",32,"3,78",8
2368697,AGMI,E1513,,,"7,49",16,"-0,50",7,"0,36",30,"0,45",15,"0,18",16,"0,03",12,"0,13",12,"3,15",22,"5,79",23,"5,37",29,"6,15",31,"2,33",7
2802686,AGMI,E5437,,,"7,49",19,"-0,12",8,"0,51",30,"0,37",34,"-0,24",34,"2,24",12,"3,20",12,"2,63",23,"4,43",24,"1,64",29,"-0,15",32,"5,55",9
3057389,AGMI,E8335,,,"7,49",12,"-0,28",5,"-0,03",8,"0,21",8,"0,51",27,"1,76",5,"2,40",5,"0,97",13,"1,66",15,"8,59",21,"10,33",24,"3,38",5
3056975,AGMI,E8456,,,"7,49",15,"-0,52",8,"0,38",16,"0,60",16,"1,26",35,"1,43",14,"2,10",14,"0,03",18,"0,84",18,"3,99",21,"5,16",21,"2,67",10
3197479,AGMI,F129,,,"7,49",16,"-0,06",4,"0,58",17,"0,95",19,"0,93",35,"0,86",10,"1,08",10,"3,46",22,"5,02",24,"9,24",29,"8,80",32,"2,62",6
3664386,AGMI,F3586,,,"7,49",12,"-0,45",5,"0,20",16,"0,40",17,"-1,63",33,"1,76",9,"2,57",9,"1,70",16,"1,81",17,"4,42",19,"5,46",20,"2,48",6
3987491,AGMI,F6796,,,"7,49",16,"-0,33",5,"0,24",30,"0,45",35,"-0,69",34,"0,62",8,"0,91",8,"2,33",20,"2,43",22,"2,99",27,"4,00",30,"4,14",5
4230462,AGMI,F8639,,,"7,49",14,"-0,32",6,"0,04",16,"0,08",17,"-0,06",35,"-0,34",9,"-0,44",9,"3,86",22,"5,53",23,"5,20",24,"4,12",24,"2,01",6
468074,AGMI,B7757,B7757,,"7,49",23,"-0,40",13,"0,10",18,"-0,03",19,"0,46",38,"2,13",22,"2,98",22,"2,42",28,"3,20",30,"7,03",33,"6,58",35,"3,57",14
